unnamed,unnamed,unnamed,unnamed
2015-05-10,Sunday,BAYVIEW,2000 Block of THOMAS AV
2015-05-10,Sunday,BAYVIEW,3RD ST / REVERE AV
2015-05-10,Sunday,NORTHERN,2000 Block of GOUGH ST
2015-05-10,Sunday,INGLESIDE,4700 Block of MISSION ST
2015-05-10,Sunday,INGLESIDE,4700 Block of MISSION ST
2015-05-10,Sunday,TARAVAL,NULL
2011-12-20,Tuesday,MISSION,500 Block of FLORIDA ST
2011-12-20,Tuesday,MISSION,500 Block of FLORIDA ST
2011-12-20,Tuesday,MISSION,500 Block of FLORIDA ST
2011-12-20,Tuesday,PARK,100 Block of BAKER ST
2011-12-20,Tuesday,BAYVIEW,NULL
2011-12-20,Tuesday,NORTHERN,1500 Block of CALIFORNIA ST
2011-12-20,Tuesday,NORTHERN,1500 Block of CALIFORNIA ST
2011-12-20,Tuesday,NORTHERN,1500 Block of CALIFORNIA ST
2009-01-16,Friday,SOUTHERN,0 Block of 6TH ST
2009-01-16,Friday,PARK,7TH AV
2009-01-16,Friday,TARAVAL,1200 Block of 16TH AV
2009-01-16,Friday,INGLESIDE,300 Block of 29TH ST
2009-01-16,Friday,TENDERLOIN,100 Block of TURK ST
2009-01-16,Friday,NORTHERN,100 Block of SANCHEZ ST
2009-01-16,Friday,NORTHERN,300 Block of FULTON ST
2006-07-08,Saturday,PARK,1500 Block of 5TH AV
2006-07-08,Saturday,TARAVAL,41ST AV / SLOAT BL
2006-07-08,Saturday,TARAVAL,2700 Block of SLOAT BL
2006-07-08,Saturday,INGLESIDE,200 Block of BLYTHDALE AV
2006-07-08,Saturday,CENTRAL,700 Block of POST ST
2004-05-05,Wednesday,TARAVAL,200 Block of MAGELLAN AV
2004-05-05,Wednesday,TENDERLOIN,400 Block of EDDY ST
2004-05-05,Wednesday,PARK,NULL
2004-05-05,Wednesday,TARAVAL,1200 Block of IRVING ST
2004-05-05,Wednesday,TENDERLOIN,100 Block of EDDY ST
2003-01-01,Wednesday,CENTRAL,400 Block of BROADWAY ST
2003-01-01,Wednesday,CENTRAL,800 Block of PACIFIC AV
2003-01-01,Wednesday,SOUTHERN,800 Block of BRYANT ST
2003-01-01,Wednesday,MISSION,2400 Block of MARIPOSA ST
2003-01-01,Wednesday,INGLESIDE,400 Block of MONTEREY BL
2003-01-01,Wednesday,CENTRAL,400 Block of GEARY ST
2003-01-01,Wednesday,CENTRAL,1400 Block of CALIFORNIA ST
2003-01-01,Wednesday,INGLESIDE,200 Block of PRECITA AV
2003-01-01,Wednesday,MISSION,1800 Block of 15TH ST
